sample_id,combo,camera_source,motion_source,camera_focal_l1_mean,camera_principal_l1_mean,camera_rotation_deg_max,camera_rotation_deg_mean,camera_translation_l2_max,camera_translation_l2_mean,joint_velocity_l2_mean,mpjpe_max,mpjpe_mean,num_frames,projection_onscreen_fraction,projection_positive_depth_fraction,projection_visible_fraction,projection_xy_l2_mean_px,projection_xy_l2_visible_mean_px,rifke_l1_mean,rifke_l2_frame_mean,root_joint_l2_max,root_joint_l2_mean,root_velocity_l2_mean
2017_hK62U-Gm_hI_00008_000_a,pulp_camera+pulp_motion,pulp,pulp,35.87584686279297,0.0,7.20769739151001,4.26633882522583,0.2741701304912567,0.16135865449905396,0.01696355827152729,0.8155524134635925,0.1865820735692978,99,0.4444444444444444,1.0,1.0,107.45840454101562,107.45840454101562,0.021013405174016953,0.6727368235588074,0.7083773016929626,0.188431978225708,0.014045278541743755
2011_6HJqPZ-KmZs_00010_000_a,gt_camera+gt_motion,gt,gt,0.0,0.0,0.03956468030810356,0.00391364935785532,0.0,0.0,0.0,0.0,0.0,106,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011_6HJqPZ-KmZs_00010_000_a,vae_camera+gt_motion,vae,gt,0.0,0.0,5.248669147491455,0.3476197123527527,0.09739391505718231,0.005761087406426668,0.0,0.0,0.0,106,0.5038593481989708,1.0,1.0,4.0338521003723145,4.0338521003723145,0.0,0.0,0.0,0.0,0.0
2011_6HJqPZ-KmZs_00010_000_a,gt_camera+vae_motion,gt,vae,0.0,0.0,0.03956468030810356,0.00391364935785532,0.0,0.0,0.00823605339974165,0.6754180788993835,0.3561355769634247,106,0.5042881646655232,1.0,1.0,31.18377113342285,31.18377113342285,0.014104639180004597,0.3117944598197937,0.6526108980178833,0.3530143201351166,0.007935278117656708
2011_6HJqPZ-KmZs_00010_000_a,vae_camera+vae_motion,vae,vae,0.0,0.0,5.248669147491455,0.3476197123527527,0.09739391505718231,0.005761087406426668,0.00823605339974165,0.6754180788993835,0.3561355769634247,106,0.5090051457975986,1.0,1.0,33.231807708740234,33.231807708740234,0.014104639180004597,0.3117944598197937,0.6526108980178833,0.3530143201351166,0.007935278117656708
2011_6HJqPZ-KmZs_00010_000_a,pulp_camera+gt_motion,pulp,gt,19.485858917236328,0.0,3.857016086578369,0.45733019709587097,0.06039544567465782,0.04476746544241905,0.0,0.0,0.0,106,0.5008576329331046,1.0,1.0,17.250076293945312,17.250076293945312,0.0,0.0,0.0,0.0,0.0
2011_6HJqPZ-KmZs_00010_000_a,gt_camera+pulp_motion,gt,pulp,0.0,0.0,0.03956468030810356,0.00391364935785532,0.0,0.0,0.00767113734036684,0.6266556978225708,0.04710691422224045,106,0.5,1.0,1.0,11.326205253601074,11.326205253601074,0.012306347489356995,0.31698986887931824,0.5076400637626648,0.04380713030695915,0.006888506468385458
2011_6HJqPZ-KmZs_00010_000_a,pulp_camera+pulp_motion,pulp,pulp,19.485858917236328,0.0,3.857016086578369,0.45733019709587097,0.06039544567465782,0.04476746544241905,0.00767113734036684,0.6266556978225708,0.04710691422224045,106,0.5,1.0,1.0,18.84063720703125,18.84063720703125,0.012306347489356995,0.31698986887931824,0.5076400637626648,0.04380713030695915,0.006888506468385458
2017_QHU65AAx6uk_00002_001_b,gt_camera+gt_motion,gt,gt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,0.43983957219251335,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017_QHU65AAx6uk_00002_001_b,vae_camera+gt_motion,vae,gt,0.0,0.0,3.2861058712005615,0.44583845138549805,0.1162184551358223,0.00850706361234188,0.0,0.0,0.0,34,0.44385026737967914,1.0,1.0,9.563387870788574,9.563387870788574,0.0,0.0,0.0,0.0,0.0
2017_QHU65AAx6uk_00002_001_b,gt_camera+vae_motion,gt,vae,0.0,0.0,0.0,0.0,0.0,0.0,0.04518812522292137,0.39322492480278015,0.17697028815746307,34,0.3877005347593583,1.0,1.0,91.45494079589844,91.45494079589844,0.06706447899341583,1.4362095594406128,0.3445774018764496,0.183253675699234,0.04061342030763626
2017_QHU65AAx6uk_00002_001_b,vae_camera+vae_motion,vae,vae,0.0,0.0,3.2861058712005615,0.44583845138549805,0.1162184551358223,0.00850706361234188,0.04518812522292137,0.39322492480278015,0.17697028815746307,34,0.393048128342246,1.0,1.0,89.24496459960938,89.24496459960938,0.06706447899341583,1.4362095594406128,0.3445774018764496,0.183253675699234,0.04061342030763626
2017_QHU65AAx6uk_00002_001_b,pulp_camera+gt_motion,pulp,gt,34.75539016723633,0.0,7.288683891296387,1.5810155868530273,0.06826824694871902,0.04222391918301582,0.0,0.0,0.0,34,0.4385026737967914,1.0,1.0,55.83256530761719,55.83256530761719,0.0,0.0,0.0,0.0,0.0
2017_QHU65AAx6uk_00002_001_b,gt_camera+pulp_motion,gt,pulp,0.0,0.0,0.0,0.0,0.0,0.0,0.029623473063111305,0.5848105549812317,0.12765541672706604,34,0.38235294117647056,1.0,1.0,57.038734436035156,57.038734436035156,0.07313652336597443,1.938492774963379,0.40551304817199707,0.08838478475809097,0.018530530855059624
2017_QHU65AAx6uk_00002_001_b,pulp_camera+pulp_motion,pulp,pulp,34.75539016723633,0.0,7.288683891296387,1.5810155868530273,0.06826824694871902,0.04222391918301582,0.029623473063111305,0.5848105549812317,0.12765541672706604,34,0.38235294117647056,1.0,1.0,41.166500091552734,41.166500091552734,0.07313652336597443,1.938492774963379,0.40551304817199707,0.08838478475809097,0.018530530855059624
2015_TQCgzi4j3eM_00027_000_a,gt_camera+gt_motion,gt,gt,0.0,0.0,0.06255725026130676,0.04805832728743553,0.0,0.0,0.0,0.0,0.0,109,0.2481234361968307,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
