status	setting	original_bytes	new_bytes	original_pages	new_pages	path	detail
replaced	ebook	121565443	1993010	17	17	obsidian-vault/paperPDFs/SIGGRAPH_2023/Winding_Numbers_on_Discrete_Surfaces.pdf	qpdf ok
replaced	ebook	121167312	1064013	11	11	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2025/Strands2Cards_Automatic_Generation_of_Hair_Cards_from_Strands.pdf	qpdf ok
replaced	ebook	124024903	2431908	16	16	obsidian-vault/paperPDFs/SGP_2025/The_Affine_Heat_Method.pdf	qpdf ok
replaced	ebook	130078026	1411567	16	16	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2022/Interactive_exploration_of_tension_compression_mixed_shells.pdf	qpdf ok
replaced	ebook	144626170	1936921	13	13	obsidian-vault/paperPDFs/SIGGRAPH_2025/Faraday_Cage_Estimation_of_Normals_for_Point_Clouds_and_Ribbon_Sketches.pdf	qpdf ok
replaced	ebook	142070554	3254418	15	15	obsidian-vault/paperPDFs/SIGGRAPH_2024/A_Free_space_Diffraction_BSDF.pdf	qpdf ok
replaced	ebook	117552098	1078116	8	8	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2022/Fast_Editing_of_Singularities_in_Field_Aligned_Stripe_Patterns.pdf	qpdf ok
replaced	ebook	120617010	2210552	23	23	obsidian-vault/paperPDFs/SIGGRAPH_2025/Single_Edge_Collapse_Quad_Dominant_Mesh_Reduction.pdf	qpdf ok
replaced	ebook	142643777	12384693	21	21	obsidian-vault/paperPDFs/SIGGRAPH_2023/Symmetric_Volume_Maps_Order_invariant_Volumetric_Mesh_Correspondence_With_Free_Boundary.pdf	qpdf ok
replaced	ebook	115531558	1231442	11	11	obsidian-vault/paperPDFs/SIGGRAPH_2024/Deep_Fourier_based_Arbitrary_scale_Super_resolution_for_Real_time_Rendering.pdf	qpdf ok
replaced	ebook	115536236	952665	17	17	obsidian-vault/paperPDFs/SIGGRAPH_2025/Inverse_Geometric_Locomotion.pdf	qpdf ok
replaced	ebook	112703727	1018961	11	11	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2023/Multi_color_Holograms_Improve_Brightness_in_Holographic_Displays.pdf	qpdf ok
replaced	ebook	119545355	2479143	17	17	obsidian-vault/paperPDFs/SIGGRAPH_2025/NeurCross_A_Neural_Approach_to_Computing_Cross_Fields_for_Quad_Mesh_Generation.pdf	qpdf ok
replaced	ebook	113092045	6007868	17	17	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2025/Realistic_Cloth_Rendering_with_a_Ray_Wave_Hybrid_Shading_Model.pdf	qpdf ok
replaced	ebook	111994794	849129	17	17	obsidian-vault/paperPDFs/SIGGRAPH_2022/Efficient_Kinetic_Simulation_of_Two_Phase_Flows.pdf	qpdf ok
replaced	ebook	117312116	1253806	13	13	obsidian-vault/paperPDFs/SIGGRAPH_2023/CT2Hair_High_fidelity_3D_Hair_Modeling_Using_Computed_Tomography.pdf	qpdf ok
replaced	ebook	112309517	1660516	11	11	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2025/Fine_Grained_Spatially_Varying_Material_Selection_in_Images.pdf	qpdf ok
replaced	ebook	108351087	1171879	16	16	obsidian-vault/paperPDFs/SIGGRAPH_2023/Second_order_Stencil_Descent_for_Interior_point_Hyperelasticity.pdf	qpdf ok
replaced	ebook	119069068	1973906	14	14	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2025/Force_Dual_Modes_Subspace_Design_from_Stochastic_Forces.pdf	qpdf ok
