source_index,title,publication,paper,project,code,dataset,model,demo,resource_type,appended
269,BigDatasetGAN: Synthesizing ImageNet with Pixel-wise Annotations,CVPR 2022,https://arxiv.org/abs/2201.04684,https://research.nvidia.com/labs/toronto-ai/big-datasetgan/,https://github.com/nv-tlabs/bigdatasetgan_code,,,,paper,yes
270,Score-Based Generative Modeling with Critically-Damped Langevin Diffusion,ICLR 2022,https://arxiv.org/abs/2112.07068,https://research.nvidia.com/labs/toronto-ai/CLD-SGM/,https://github.com/nv-tlabs/CLD-SGM,,,,paper,yes
271,Tackling the Generative Learning Trilemma with Denoising Diffusion GANs,ICLR 2022,https://arxiv.org/abs/2112.07804,https://nvlabs.github.io/denoising-diffusion-gan/,https://github.com/NVlabs/denoising-diffusion-gan,,,,paper,yes
272,Domain Adversarial Training: A Game Perspective,ICLR 2022,https://arxiv.org/abs/2202.05352,,,,,,paper,yes
273,Low-Budget Active Learning via Wasserstein Distance: An Integer Programming Approach,ICLR 2022,https://arxiv.org/abs/2106.02968,,,,,,paper,yes
274,Spectral Unions of Partial Deformable 3D Shapes,Eurographics 2022,https://arxiv.org/abs/2104.00514,,https://github.com/lucmos/spectral-unions,,,,paper,yes
275,Contrast to Divide: Self-Supervised Pre-Training for Learning with Noisy Labels,WACV 2022,https://arxiv.org/abs/2103.13646,,https://github.com/ContrastToDivide/C2D,,,,paper,yes
276,NanoVDB: A GPU-Friendly and Portable VDB Data Structure For Real-Time Rendering And Simulation,SIGGRAPH 2021,https://research.nvidia.com/labs/prl/nanovdb/nanovdb2021.pdf,,https://github.com/openvdb/nanovdb-editor,,,,paper,yes
277,SegFormer: Simple and Efficient Design for Semantic Segmentation with Transformers,NeurIPS 2021,https://arxiv.org/abs/2105.15203,,https://github.com/NVlabs/SegFormer,,https://huggingface.co/nvidia/segformer-b0-finetuned-ade-512-512,,paper,yes
278,ATISS: Autoregressive Transformers for Indoor Scene Synthesis,NeurIPS 2021,https://arxiv.org/abs/2110.03675,https://research.nvidia.com/labs/toronto-ai/ATISS/,https://github.com/nv-tlabs/atiss,,,,paper,yes
279,Deep Marching Tetrahedra: a Hybrid Representation for High-Resolution 3D Shape Synthesis,NeurIPS 2021,https://arxiv.org/abs/2111.04276,https://research.nvidia.com/labs/toronto-ai/DMTet/,,,,,paper,yes
280,Score-based Generative Modeling in Latent Space,NeurIPS 2021,https://arxiv.org/abs/2106.05931,https://nvlabs.github.io/LSGM/,https://github.com/NVlabs/LSGM,,,,paper,yes
281,Towards Optimal Strategies for Training Self-Driving Perception Models in Simulation,NeurIPS 2021,https://arxiv.org/abs/2111.07971,https://research.nvidia.com/labs/toronto-ai/simulation-strategies/,,,,,paper,yes
282,Ultrahyperbolic Neural Networks,NeurIPS 2021,https://openreview.net/attachment?id=sf2BxJNXC3K&name=supplementary_material,,,,,,paper,yes
283,DIB-R++: Learning to Predict Lighting and Material with a Hybrid Differentiable Renderer,NeurIPS 2021,https://arxiv.org/abs/2111.00140,https://research.nvidia.com/labs/toronto-ai/DIBRPlus/,,,,,paper,yes
284,Don't Generate Me: Training Differentially Private Generative Models with Sinkhorn Divergence,NeurIPS 2021,https://arxiv.org/abs/2111.01177,https://research.nvidia.com/labs/toronto-ai/DP-Sinkhorn/,https://github.com/nv-tlabs/DP-Sinkhorn_code,,,,paper,yes
285,EditGAN: High-Precision Semantic Image Editing,NeurIPS 2021,https://arxiv.org/abs/2111.03186,https://research.nvidia.com/labs/toronto-ai/editGAN/,https://github.com/nv-tlabs/editGAN_release,,,,paper,yes
286,Mix3D: Out-of-Context Data Augmentation for 3D Scenes,3DV 2021,https://arxiv.org/abs/2110.02210,https://kumuji.github.io/mix3d/,https://nekrasov.dev/mix3d/,,,,paper,yes
287,Learning Indoor Inverse Rendering with 3D Spatially-Varying Lighting,ICCV 2021,https://arxiv.org/abs/2109.06061,https://research.nvidia.com/labs/toronto-ai/inverse-rendering-3d-lighting/,,,,,paper,yes
288,3DStyleNet: Creating 3D Shapes with Geometric and Texture Style Variations,ICCV 2021,https://arxiv.org/abs/2108.12958,https://research.nvidia.com/labs/toronto-ai/3DStyleNet/,,,,,paper,yes
289,Vector Neurons: A General Framework for SO(3)-Equivariant Networks,ICCV 2021,https://arxiv.org/abs/2104.12229,https://cs.stanford.edu/~congyue/vnn/,https://github.com/FlyingGiraffe/vnn/,,,,paper,yes
290,Physics-based Human Motion Estimation and Synthesis from Videos,ICCV 2021,https://arxiv.org/abs/2109.09913,https://research.nvidia.com/labs/toronto-ai/physics-pose-estimation-project-page/,,,,,paper,yes
291,Self-Supervised Real-to-Sim Scene Generation,ICCV 2021,https://arxiv.org/abs/2011.14488,https://research.nvidia.com/publication/2021-08_Sim2SG,,,,,paper,yes
292,f-Domain-Adversarial Learning: Theory and Algorithms,ICML 2021,https://arxiv.org/abs/2106.11344,https://research.nvidia.com/labs/toronto-ai/fDAL/,https://github.com/nv-tlabs/fDAL,,,,paper,yes
293,Image-Level or Object-Level? A Tale of Two Resampling Strategies for Long-Tailed Detection,ICML 2021,https://arxiv.org/abs/2104.05702,,https://github.com/NVlabs/RIO,,,,paper,yes
294,DriveGAN: Towards a Controllable High-Quality Neural Simulation,CVPR 2021,https://arxiv.org/abs/2104.15060,https://research.nvidia.com/labs/toronto-ai/DriveGAN/,https://github.com/nv-tlabs/DriveGAN_code,,,,paper,yes
295,Neural Geometric Level of Detail: Real-time Rendering with Implicit 3D Surfaces,CVPR 2021,https://arxiv.org/abs/2101.10994,https://research.nvidia.com/labs/toronto-ai/nglod/,https://github.com/nv-tlabs/nglod,,,,paper,yes
296,DatasetGAN: Efficient Labeled Data Factory with Minimal Human Effort,CVPR 2021,https://arxiv.org/abs/2104.06490,https://research.nvidia.com/labs/toronto-ai/datasetGAN/,https://github.com/nv-tlabs/datasetGAN_release/,,,,paper,yes
297,Weakly Supervised Learning of Rigid 3D Scene Flow,CVPR 2021,https://arxiv.org/abs/2102.08945,https://3dsceneflow.github.io/,https://github.com/zgojcic/Rigid3DSceneFlow,,,,paper,yes
298,Semantic Segmentation with Generative Models: Semi-Supervised Learning and Strong Out-of-Domain Generalization,CVPR 2021,https://arxiv.org/abs/2104.05833,https://research.nvidia.com/labs/toronto-ai/semanticGAN/,https://github.com/nv-tlabs/semanticGAN_code,,,,paper,yes
299,3DIoUMatch: Leveraging IoU Prediction for Semi-Supervised 3D Object Detection,CVPR 2021,https://arxiv.org/abs/2012.04355,https://thu17cyz.github.io/3DIoUMatch/,https://github.com/yezhen17/3DIoUMatch,,,,paper,yes
300,Image GANs meet Differentiable Rendering for Inverse Graphics and Interpretable 3D Neural Rendering,ICLR 2021,https://arxiv.org/abs/2010.09125,https://research.nvidia.com/labs/toronto-ai/GANverse3D/,,,,,paper,yes
301,VAEBM: A Symbiosis between Variational Autoencoders and Energy-based Models,ICLR 2021,https://arxiv.org/abs/2010.00654,,https://github.com/NVlabs/VAEBM,,,,paper,yes
302,gradSim: Differentiable simulation for system identification and visuomotor control,ICLR 2021,https://arxiv.org/abs/2104.02646,https://gradsim.github.io,https://github.com/gradsim/gradsim,,,,paper,yes
303,ReLMoGen: Integrating Reinforcement Learning and Motion Generation for Interactive Navigation,ICRA 2021,https://arxiv.org/abs/2008.07792,https://svl.stanford.edu/projects/relmogen/,,,,,paper,yes
304,UniCon: Universal Neural Controller For Physics-based Character Motion,CoRR 2020,https://arxiv.org/abs/2011.15119,https://research.nvidia.com/labs/toronto-ai/unicon/,,,,,paper,yes
305,Variational Amodal Object Completion,NeurIPS 2020,https://papers.nips.cc/paper/2020/hash/bacadc62d6e67d7897cef027fa2d416c-Abstract.html,https://www.cs.toronto.edu/~linghuan/vae_mask/,,,,,paper,yes
306,Learning Deformable Tetrahedral Meshes for 3D Reconstruction,NeurIPS 2020,https://research.nvidia.com/labs/toronto-ai/DefTet/files/main.pdf,https://research.nvidia.com/labs/toronto-ai/DefTet/,https://github.com/nv-tlabs/DefTet,,,,paper,yes
307,Ultrahyperbolic Representation Learning,NeurIPS 2020,https://arxiv.org/abs/2007.00211,,https://github.com/MarcTLaw/UltrahyperbolicRepresentation,,,,paper,yes
308,Federated Simulation or Medical Imaging,MICCAI 2020,https://arxiv.org/abs/2009.00668,https://research.nvidia.com/labs/toronto-ai/fed-sim,,,,,paper,yes
309,Meta-Sim2: Unsupervised Learning of Scene Structure for Synthetic Data Generation,ECCV 2020,https://arxiv.org/abs/2008.09092,https://research.nvidia.com/labs/toronto-ai/meta-sim-structure/,,,,,paper,yes
310,"Lift, Splat, Shoot: Encoding Images from Arbitrary Camera Rigs by Implicitly Unprojecting to 3D",ECCV 2020,https://arxiv.org/abs/2008.05711,https://research.nvidia.com/labs/toronto-ai/lift-splat-shoot/,https://github.com/nv-tlabs/lift-splat-shoot,,,,paper,yes
311,Learning to Simulate Dynamic Environments with GameGAN,CVPR 2020,https://arxiv.org/abs/2005.12126,https://research.nvidia.com/labs/toronto-ai/GameGAN/,https://github.com/nv-tlabs/GameGAN_code,,,,paper,yes
312,Learning to Evaluate Perception Models Using Planner-Centric Metrics,CVPR 2020,https://arxiv.org/abs/2004.08745,https://research.nvidia.com/labs/toronto-ai/detection-relevance/,https://github.com/nv-tlabs/planning-centric-metrics,,,,paper,yes
313,Learning to Predict 3D Objects with an Interpolation-based Differentiable Renderer,NeurIPS 2019,https://arxiv.org/abs/1908.01210,https://research.nvidia.com/labs/toronto-ai/DIB-R/,https://github.com/nv-tlabs/DIB-R,,,,paper,yes
314,Neural Turtle Graphics for Modeling City Road Layouts,ICCV 2019,https://arxiv.org/abs/1910.02055,https://research.nvidia.com/labs/toronto-ai/NTG/,,,,,paper,yes
315,Meta Sim: Learning to Generate Synthetic Datasets,ICCV 2019,https://arxiv.org/abs/1904.11621,https://research.nvidia.com/labs/toronto-ai/meta-sim/,https://github.com/nv-tlabs/meta-sim,,,,paper,yes
316,Gated-SCNN Gated Shape CNNs for Semantic Segmentation,ICCV 2019,https://arxiv.org/abs/1907.05740,https://research.nvidia.com/labs/toronto-ai/GSCNN/,https://github.com/nv-tlabs/gscnn,,,,paper,yes
317,Devil is in the Edges: Learning Semantic Boundaries from Noisy Annotations,CVPR 2019,https://arxiv.org/abs/1904.07934,https://research.nvidia.com/labs/toronto-ai/STEAL/,https://github.com/nv-tlabs/STEAL,,,,paper,yes
318,Kaolin Wisp: A PyTorch Library and Engine for Neural Fields Research,Pytorch Library,,,https://github.com/NVIDIAGameWorks/kaolin-wisp,,,,library,yes
319,Kaolin: A PyTorch Library for Accelerating 3D Deep Learning Research,Pytorch Library,https://arxiv.org/abs/1911.05063,https://developer.nvidia.com/kaolin,https://github.com/NVIDIAGameWorks/kaolin,,,,paper,yes
