state,importance,paper_title,venue,project_link_or_github_link,paper_link,sort,pdf_path,analysis_path
checked,,A Brain Graph Foundation Model: Pre-Training and Prompt-Tuning across Broad Atlases and Disorders,ICLR 2026,,https://openreview.net/forum?id=PeGHkAaRxs,ICLR 2026,obsidian-vault/paperPDFs/ICLR_2026/A_Brain_Graph_Foundation_Model_Pre-Training_and_Prompt-Tuning_across_Broad_Atlases_and_Disorders.pdf,obsidian-vault/analysis/ICLR_2026/A_Brain_Graph_Foundation_Model_Pre-Training_and_Prompt-Tuning_across_Broad_Atlases_and_Disorders.md
checked,,A Cognitive Process-Inspired Architecture for Subject-Agnostic Brain Visual Decoding,ICLR 2026,,https://openreview.net/forum?id=H1GLFKk0xE,ICLR 2026,obsidian-vault/paperPDFs/ICLR_2026/A_Cognitive_Process-Inspired_Architecture_for_Subject-Agnostic_Brain_Visual_Decoding.pdf,obsidian-vault/analysis/ICLR_2026/A_Cognitive_Process-Inspired_Architecture_for_Subject-Agnostic_Brain_Visual_Decoding.md
checked,,A Comprehensive Information-Decomposition Analysis of Large Vision-Language Models,ICLR 2026,,https://openreview.net/forum?id=6WsBGk4Iag,ICLR 2026,obsidian-vault/paperPDFs/ICLR_2026/A_Comprehensive_Information-Decomposition_Analysis_of_Large_Vision-Language_Models.pdf,obsidian-vault/analysis/ICLR_2026/A_Comprehensive_Information-Decomposition_Analysis_of_Large_Vision-Language_Models.md
checked,,A Convergence Analysis of Adaptive Optimizers under Floating-point Quantization,ICLR 2026,,https://openreview.net/forum?id=wwP1SCACee,ICLR 2026,obsidian-vault/paperPDFs/ICLR_2026/A_Convergence_Analysis_of_Adaptive_Optimizers_under_Floating-point_Quantization.pdf,obsidian-vault/analysis/ICLR_2026/A_Convergence_Analysis_of_Adaptive_Optimizers_under_Floating-point_Quantization.md
checked,,A Dense Subset Index for Collective Query Coverage,ICLR 2026,,https://openreview.net/forum?id=cUdODCFjUM,ICLR 2026,obsidian-vault/paperPDFs/ICLR_2026/A_Dense_Subset_Index_for_Collective_Query_Coverage.pdf,obsidian-vault/analysis/ICLR_2026/A_Dense_Subset_Index_for_Collective_Query_Coverage.md
checked,,A Derandomization Framework for Structure Discovery: Applications in Neural Networks and Beyond,ICLR 2026,,https://openreview.net/forum?id=dtIf5HsOIn,ICLR 2026,obsidian-vault/paperPDFs/ICLR_2026/A_Derandomization_Framework_for_Structure_Discovery_Applications_in_Neural_Networks_and_Beyond.pdf,obsidian-vault/analysis/ICLR_2026/A_Derandomization_Framework_for_Structure_Discovery_Applications_in_Neural_Networks_and_Beyond.md
checked,,A Fair Bayesian Inference through Matched Gibbs Posterior,ICLR 2026,,https://openreview.net/forum?id=sIjFXzEOOH,ICLR 2026,obsidian-vault/paperPDFs/ICLR_2026/A_Fair_Bayesian_Inference_through_Matched_Gibbs_Posterior.pdf,obsidian-vault/analysis/ICLR_2026/A_Fair_Bayesian_Inference_through_Matched_Gibbs_Posterior.md
checked,,A Fano-Style Accuracy Upper Bound for LLM Single-Pass Reasoning in Multi-Hop QA,ICLR 2026,,https://openreview.net/forum?id=dPAcHrG4rl,ICLR 2026,obsidian-vault/paperPDFs/ICLR_2026/A_Fano-Style_Accuracy_Upper_Bound_for_LLM_Single-Pass_Reasoning_in_Multi-Hop_QA.pdf,obsidian-vault/analysis/ICLR_2026/A_Fano-Style_Accuracy_Upper_Bound_for_LLM_Single-Pass_Reasoning_in_Multi-Hop_QA.md
checked,,A Faster Parameter-Free Regret Matching Algorithm,ICLR 2026,,https://openreview.net/forum?id=JLllvi7dsg,ICLR 2026,obsidian-vault/paperPDFs/ICLR_2026/A_Faster_Parameter-Free_Regret_Matching_Algorithm.pdf,obsidian-vault/analysis/ICLR_2026/A_Faster_Parameter-Free_Regret_Matching_Algorithm.md
checked,,A Federated Generalized Expectation-Maximization Algorithm for Mixture Models with an Unknown Number of Components,ICLR 2026,,https://openreview.net/forum?id=CELYMnherN,ICLR 2026,obsidian-vault/paperPDFs/ICLR_2026/A_Federated_Generalized_Expectation-Maximization_Algorithm_for_Mixture_Models_with_an_Unknown_Number_of_Components.pdf,obsidian-vault/analysis/ICLR_2026/A_Federated_Generalized_Expectation-Maximization_Algorithm_for_Mixture_Models_with_an_Unknown_Number_of_Components.md
checked,,A Framework for Studying AI Agent Behavior: Evidence from Consumer Choice Experiments,ICLR 2026,,https://openreview.net/forum?id=xAPoscV2Bw,ICLR 2026,obsidian-vault/paperPDFs/ICLR_2026/A_Framework_for_Studying_AI_Agent_Behavior_Evidence_from_Consumer_Choice_Experiments.pdf,obsidian-vault/analysis/ICLR_2026/A_Framework_for_Studying_AI_Agent_Behavior_Evidence_from_Consumer_Choice_Experiments.md
checked,,A Function-Centric Graph Neural Network Approach for Predicting Electron Densities,ICLR 2026,,https://openreview.net/forum?id=HDdkFjFEZd,ICLR 2026,obsidian-vault/paperPDFs/ICLR_2026/A_Function-Centric_Graph_Neural_Network_Approach_for_Predicting_Electron_Densities.pdf,obsidian-vault/analysis/ICLR_2026/A_Function-Centric_Graph_Neural_Network_Approach_for_Predicting_Electron_Densities.md
checked,,A General Framework for Black-Box Attacks Under Cost Asymmetry,ICLR 2026,,https://openreview.net/forum?id=G1fFulgfd8,ICLR 2026,obsidian-vault/paperPDFs/ICLR_2026/A_General_Framework_for_Black-Box_Attacks_Under_Cost_Asymmetry.pdf,obsidian-vault/analysis/ICLR_2026/A_General_Framework_for_Black-Box_Attacks_Under_Cost_Asymmetry.md
checked,,A General Spatio-Temporal Backbone with Scalable Contextual Pattern Bank for Urban Continual Forecasting,ICLR 2026,,https://openreview.net/forum?id=LHSea6DI8U,ICLR 2026,obsidian-vault/paperPDFs/ICLR_2026/A_General_Spatio-Temporal_Backbone_with_Scalable_Contextual_Pattern_Bank_for_Urban_Continual_Forecasting.pdf,obsidian-vault/analysis/ICLR_2026/A_General_Spatio-Temporal_Backbone_with_Scalable_Contextual_Pattern_Bank_for_Urban_Continual_Forecasting.md
checked,,A Generalized Geometric Theoretical Framework of Centroid Discriminant Analysis for Linear Classification of Multi-dimensional Data,ICLR 2026,,https://openreview.net/forum?id=bp9DOHb1mk,ICLR 2026,obsidian-vault/paperPDFs/ICLR_2026/A_Generalized_Geometric_Theoretical_Framework_of_Centroid_Discriminant_Analysis_for_Linear_Classification_of_Multi-dimensional_Data.pdf,obsidian-vault/analysis/ICLR_2026/A_Generalized_Geometric_Theoretical_Framework_of_Centroid_Discriminant_Analysis_for_Linear_Classification_of_Multi-dimensional_Data.md
checked,,A Genetic Algorithm for Navigating Synthesizable Molecular Spaces,ICLR 2026,,https://openreview.net/forum?id=OvMtGGaFUT,ICLR 2026,obsidian-vault/paperPDFs/ICLR_2026/A_Genetic_Algorithm_for_Navigating_Synthesizable_Molecular_Spaces.pdf,obsidian-vault/analysis/ICLR_2026/A_Genetic_Algorithm_for_Navigating_Synthesizable_Molecular_Spaces.md
checked,,A Graph Meta-Network for Learning on Kolmogorov–Arnold Networks,ICLR 2026,,https://openreview.net/forum?id=ONpyYavBqR,ICLR 2026,obsidian-vault/paperPDFs/ICLR_2026/A_Graph_Meta-Network_for_Learning_on_KolmogorovArnold_Networks.pdf,obsidian-vault/analysis/ICLR_2026/A_Graph_Meta-Network_for_Learning_on_KolmogorovArnold_Networks.md
checked,,A Guardrail for Safety Preservation: When Safety-Sensitive Subspace Meets Harmful-Resistant Null-Space,ICLR 2026,,https://openreview.net/forum?id=887vde4ZAW,ICLR 2026,obsidian-vault/paperPDFs/ICLR_2026/A_Guardrail_for_Safety_Preservation_When_Safety-Sensitive_Subspace_Meets_Harmful-Resistant_Null-Space.pdf,obsidian-vault/analysis/ICLR_2026/A_Guardrail_for_Safety_Preservation_When_Safety-Sensitive_Subspace_Meets_Harmful-Resistant_Null-Space.md
checked,,A Hidden Semantic Bottleneck in Conditional Embeddings of Diffusion Transformers,ICLR 2026,,https://openreview.net/forum?id=FetaeuGsEs,ICLR 2026,obsidian-vault/paperPDFs/ICLR_2026/A_Hidden_Semantic_Bottleneck_in_Conditional_Embeddings_of_Diffusion_Transformers.pdf,obsidian-vault/analysis/ICLR_2026/A_Hidden_Semantic_Bottleneck_in_Conditional_Embeddings_of_Diffusion_Transformers.md
checked,,A Hierarchical Circuit Symbolic Discovery Framework for Efficient Logic Optimization,ICLR 2026,,https://openreview.net/forum?id=YaXSEbRrHP,ICLR 2026,obsidian-vault/paperPDFs/ICLR_2026/A_Hierarchical_Circuit_Symbolic_Discovery_Framework_for_Efficient_Logic_Optimization.pdf,obsidian-vault/analysis/ICLR_2026/A_Hierarchical_Circuit_Symbolic_Discovery_Framework_for_Efficient_Logic_Optimization.md
