batch_id,root_id,subtopic_id,subtopic_label,paper_count,manifest_path
iclr26_optimization_theory_probabilistic__optimization__b002,optimization_theory_probabilistic,optimization,Optimization,6,_private/topic_priority/subtopic_batches/batches/iclr26_optimization_theory_probabilistic__optimization__b002.jsonl
iclr26_optimization_theory_probabilistic__optimization_and_learning_under_uncertainty__b001,optimization_theory_probabilistic,optimization_and_learning_under_uncertainty,Optimization and Learning under Uncertainty,12,_private/topic_priority/subtopic_batches/batches/iclr26_optimization_theory_probabilistic__optimization_and_learning_under_uncertainty__b001.jsonl
iclr26_optimization_theory_probabilistic__optimization_methods__b001,optimization_theory_probabilistic,optimization_methods,Optimization Methods,25,_private/topic_priority/subtopic_batches/batches/iclr26_optimization_theory_probabilistic__optimization_methods__b001.jsonl
iclr26_optimization_theory_probabilistic__optimization_methods__b002,optimization_theory_probabilistic,optimization_methods,Optimization Methods,25,_private/topic_priority/subtopic_batches/batches/iclr26_optimization_theory_probabilistic__optimization_methods__b002.jsonl
iclr26_optimization_theory_probabilistic__optimization_methods__b003,optimization_theory_probabilistic,optimization_methods,Optimization Methods,12,_private/topic_priority/subtopic_batches/batches/iclr26_optimization_theory_probabilistic__optimization_methods__b003.jsonl
iclr26_optimization_theory_probabilistic__probabilistic_methods__b001,optimization_theory_probabilistic,probabilistic_methods,Probabilistic Methods,25,_private/topic_priority/subtopic_batches/batches/iclr26_optimization_theory_probabilistic__probabilistic_methods__b001.jsonl
iclr26_optimization_theory_probabilistic__probabilistic_methods__b002,optimization_theory_probabilistic,probabilistic_methods,Probabilistic Methods,9,_private/topic_priority/subtopic_batches/batches/iclr26_optimization_theory_probabilistic__probabilistic_methods__b002.jsonl
iclr26_optimization_theory_probabilistic__reinforcement_learning_and_planning__b001,optimization_theory_probabilistic,reinforcement_learning_and_planning,Reinforcement Learning and Planning,25,_private/topic_priority/subtopic_batches/batches/iclr26_optimization_theory_probabilistic__reinforcement_learning_and_planning__b001.jsonl
iclr26_optimization_theory_probabilistic__reinforcement_learning_and_planning__b002,optimization_theory_probabilistic,reinforcement_learning_and_planning,Reinforcement Learning and Planning,5,_private/topic_priority/subtopic_batches/batches/iclr26_optimization_theory_probabilistic__reinforcement_learning_and_planning__b002.jsonl
iclr26_optimization_theory_probabilistic__sampling_and_optimization__b001,optimization_theory_probabilistic,sampling_and_optimization,Sampling and Optimization,17,_private/topic_priority/subtopic_batches/batches/iclr26_optimization_theory_probabilistic__sampling_and_optimization__b001.jsonl
iclr26_optimization_theory_probabilistic__zero_order_and_black_box_optimization__b001,optimization_theory_probabilistic,zero_order_and_black_box_optimization,Zero-order and Black-box Optimization,17,_private/topic_priority/subtopic_batches/batches/iclr26_optimization_theory_probabilistic__zero_order_and_black_box_optimization__b001.jsonl
iclr26_other_unclear__other_unclear__b001,other_unclear,other_unclear,Other / Unclear,25,_private/topic_priority/subtopic_batches/batches/iclr26_other_unclear__other_unclear__b001.jsonl
iclr26_other_unclear__other_unclear__b002,other_unclear,other_unclear,Other / Unclear,25,_private/topic_priority/subtopic_batches/batches/iclr26_other_unclear__other_unclear__b002.jsonl
iclr26_other_unclear__other_unclear__b003,other_unclear,other_unclear,Other / Unclear,25,_private/topic_priority/subtopic_batches/batches/iclr26_other_unclear__other_unclear__b003.jsonl
iclr26_other_unclear__other_unclear__b004,other_unclear,other_unclear,Other / Unclear,25,_private/topic_priority/subtopic_batches/batches/iclr26_other_unclear__other_unclear__b004.jsonl
iclr26_other_unclear__other_unclear__b005,other_unclear,other_unclear,Other / Unclear,25,_private/topic_priority/subtopic_batches/batches/iclr26_other_unclear__other_unclear__b005.jsonl
